;choice_0_0;choice_1_0;choice_2_0;choice_3_0;av_0_0;av_1_0;av_2_0;av_3_0;CHARGING_FUELING_TIME_0_0;CHARGING_FUELING_TIME_1_0;CHARGING_FUELING_TIME_2_0;CHARGING_FUELING_TIME_3_0;PURCHASE_PRICE_0_0;RANGE_0_0;PURCHASE_PRICE_1_0;RANGE_1_0;PURCHASE_PRICE_2_0;RANGE_2_0;PURCHASE_PRICE_3_0;RANGE_3_0
565;1;0;0;0;1;1;1;0;2;2;20;0;7.058823529;9;5.882352941;5;17.64705882;4.5;0;0
566;0;0;1;0;0;0;1;1;0;0;10;2;0;0;0;0;5.185185185;2.5;14.07407407;8
567;0;0;0;1;0;1;1;1;0;2;10;2;0;0;12;9;9.333333333;4.5;13.33333333;6
568;0;0;1;0;0;1;1;1;0;2;15;2;0;0;7.368421053;7;7.368421053;6.5;8.421052632;4
569;0;0;0;1;0;1;1;1;0;2;5;2;0;0;20;5;60;6.5;36;6
570;0;0;1;0;1;0;1;0;2;0;25;0;8.965517241;9;0;0;13.10344828;4.5;0;0
571;0;0;1;0;1;1;1;0;2;2;10;0;11.30434783;9;7.826086957;7;6.956521739;2.5;0;0
572;0;0;1;0;1;1;1;0;2;2;10;0;3.888888889;5;5;7;7.222222222;6.5;0;0
573;0;0;0;1;1;0;1;1;2;0;15;2;8.571428571;9;0;0;10;2.5;18.57142857;6
574;0;0;1;0;1;1;1;0;2;2;10;0;8.571428571;5;4.285714286;7;15.71428571;6.5;0;0
575;0;0;1;0;1;0;1;0;2;0;15;0;20;7;0;0;20;2.5;0;0
576;0;0;1;0;0;1;1;0;0;2;25;0;0;0;10.76923077;7;16.92307692;6.5;0;0
577;0;1;0;0;1;1;1;0;2;2;20;0;3.888888889;9;8.333333333;5;1.666666667;4.5;0;0
578;0;0;1;0;0;0;1;1;0;0;20;2;0;0;0;0;9.090909091;4.5;16.36363636;8
579;0;0;1;0;1;1;1;0;2;2;25;0;10.4;7;5.6;9;4.8;2.5;0;0
580;0;0;0;1;0;1;1;1;0;2;20;2;0;0;6.086956522;5;11.30434783;4.5;13.04347826;8
581;0;0;1;0;0;1;1;1;0;2;25;2;0;0;7.619047619;5;8.571428571;6.5;10.47619048;6
582;0;0;1;0;1;0;1;1;2;0;15;2;23.63636364;9;0;0;23.63636364;4.5;27.27272727;4
583;1;0;0;0;1;1;1;0;2;2;20;0;25.33333333;5;8;9;6.666666667;2.5;0;0
584;0;0;1;0;1;0;1;1;2;0;20;2;2.068965517;9;0;0;6.206896552;2.5;5.517241379;6
585;0;0;1;0;1;0;1;1;2;0;15;2;5.714285714;9;0;0;6.666666667;2.5;12.38095238;6
586;0;0;0;1;0;1;1;1;0;2;15;2;0;0;24.44444444;5;22.22222222;4.5;24.44444444;8
587;0;0;1;0;0;1;1;0;0;2;5;0;0;0;9.62962963;7;9.62962963;6.5;0;0
588;0;0;1;0;0;1;1;0;0;2;10;0;0;0;11.72413793;7;7.586206897;2.5;0;0
589;0;1;0;0;0;1;0;1;0;2;0;2;0;0;14.54545455;7;0;0;16.36363636;4
590;0;0;0;1;0;0;1;1;0;0;15;2;0;0;0;0;16.92307692;6.5;13.84615385;4
591;0;0;1;0;1;0;1;1;2;0;15;2;10.66666667;5;0;0;9.333333333;6.5;12;6
592;0;0;1;0;1;1;1;0;2;2;25;0;22.22222222;5;24.44444444;7;20;6.5;0;0
593;0;0;0;1;0;1;1;1;0;2;10;2;0;0;12;7;14.66666667;2.5;20;8
594;0;0;1;0;0;1;1;1;0;2;25;2;0;0;16.36363636;7;9.090909091;2.5;20;8
595;1;0;0;0;1;0;1;1;2;0;20;2;3.888888889;9;0;0;3.888888889;4.5;5;4
596;0;0;1;0;1;0;1;1;2;0;10;2;8.571428571;9;0;0;17.14285714;4.5;31.42857143;4
597;0;0;1;0;1;0;1;1;2;0;25;2;12;5;0;0;10.4;6.5;10.4;6
598;0;1;0;0;1;1;1;0;2;2;5;0;9.333333333;7;4;5;22.66666667;6.5;0;0
599;0;0;1;0;1;0;1;0;2;0;15;0;20;7;0;0;12.72727273;6.5;0;0
600;0;0;0;1;1;1;0;1;2;2;0;2;14.28571429;5;54.28571429;7;0;0;31.42857143;8
601;1;0;0;0;1;0;1;1;2;0;20;2;4.615384615;5;0;0;16.92307692;6.5;13.84615385;6
602;0;1;0;0;1;1;1;0;2;2;5;0;9.444444444;5;6.111111111;9;3.888888889;4.5;0;0
603;0;0;0;1;1;0;1;1;2;0;20;2;7.407407407;9;0;0;8.148148148;2.5;8.148148148;8
604;0;1;0;0;0;1;1;1;0;2;20;2;0;0;5.882352941;7;11.76470588;2.5;10.58823529;8
605;0;0;1;0;0;1;1;1;0;2;15;2;0;0;24.44444444;7;22.22222222;2.5;24.44444444;8
606;0;0;1;0;0;0;1;1;0;0;5;2;0;0;0;0;16.92307692;2.5;15.38461538;6
607;0;0;1;0;0;0;1;1;0;0;10;2;0;0;0;0;12.85714286;6.5;21.42857143;6
608;0;1;0;0;1;1;1;0;2;2;20;0;10.52631579;5;7.368421053;7;11.57894737;6.5;0;0
609;0;0;1;0;0;1;1;0;0;2;25;0;0;0;7.058823529;5;12.94117647;6.5;0;0
610;0;1;0;0;0;1;1;1;0;2;20;2;0;0;31.42857143;9;20;2.5;28.57142857;6
611;0;0;1;0;1;0;1;1;2;0;15;2;10.76923077;7;0;0;10.76923077;6.5;20;4
612;0;1;0;0;0;1;1;0;0;2;20;0;0;0;13.68421053;9;8.421052632;4.5;0;0
613;0;1;0;0;0;1;1;1;0;2;25;2;0;0;20;5;20;6.5;23.07692308;4
614;0;0;0;1;0;1;1;1;0;2;15;2;0;0;9.565217391;5;16.52173913;6.5;13.04347826;6
615;1;0;0;0;1;0;1;0;2;0;15;0;9.473684211;5;0;0;3.157894737;4.5;0;0
616;0;0;0;1;0;1;1;1;0;2;5;2;0;0;7.407407407;9;3.703703704;4.5;8.148148148;4
617;0;0;1;0;0;1;1;0;0;2;10;0;0;0;8.8;5;4.8;6.5;0;0
618;0;1;0;0;1;1;1;0;2;2;10;0;5.882352941;7;8.235294118;9;12.94117647;2.5;0;0
619;0;0;1;0;1;1;1;0;2;2;25;0;7.586206897;5;4.827586207;7;7.586206897;6.5;0;0
620;0;1;0;0;0;1;1;1;0;2;20;2;0;0;8.235294118;7;12.94117647;4.5;12.94117647;8
621;0;1;0;0;0;1;1;1;0;2;5;2;0;0;10;9;8.571428571;4.5;21.42857143;4
622;0;0;1;0;1;0;1;1;2;0;15;2;10.52631579;7;0;0;9.473684211;6.5;9.473684211;4
623;0;1;0;0;0;1;1;0;0;2;15;0;0;0;11.11111111;9;28.88888889;4.5;0;0
624;0;0;1;0;1;1;1;0;2;2;5;0;9.411764706;5;15.29411765;9;7.058823529;2.5;0;0
625;0;1;0;0;0;1;1;0;0;2;10;0;0;0;7.368421053;9;9.473684211;2.5;0;0
626;0;1;0;0;1;1;1;0;2;2;15;0;20;7;15.29411765;5;10.58823529;6.5;0;0
627;1;0;0;0;1;0;1;1;2;0;20;2;16.36363636;5;0;0;23.63636364;4.5;20;8
628;0;0;1;0;0;1;1;1;0;2;25;2;0;0;14.66666667;9;12;4.5;14.66666667;4
629;0;1;0;0;0;1;1;0;0;2;25;0;0;0;12;5;9.333333333;6.5;0;0
630;1;0;0;0;1;1;1;0;2;2;20;0;12.94117647;5;8.235294118;9;7.058823529;4.5;0;0
631;1;0;0;0;1;0;1;1;2;0;5;2;17.33333333;7;0;0;9.333333333;2.5;12;4
632;0;1;0;0;0;1;1;1;0;2;10;2;0;0;33.33333333;5;15.55555556;4.5;20;8
633;0;0;0;1;0;1;1;1;0;2;15;2;0;0;10;7;15.71428571;6.5;18.57142857;4
634;0;0;1;0;1;0;1;0;2;0;20;0;8.148148148;9;0;0;5.185185185;4.5;0;0
635;1;0;0;0;1;1;1;0;2;2;15;0;11.57894737;7;11.57894737;9;6.315789474;2.5;0;0
636;0;0;1;0;1;1;1;0;2;2;10;0;24.28571429;7;18.57142857;9;10;2.5;0;0
637;1;0;0;0;1;1;1;0;2;2;10;0;15.55555556;9;28.88888889;5;33.33333333;4.5;0;0
638;0;0;1;0;0;1;1;1;0;2;10;2;0;0;20;9;14.54545455;2.5;16.36363636;6
639;0;0;1;0;0;1;1;1;0;2;25;2;0;0;14.54545455;9;16.36363636;2.5;20;6
640;0;0;0;1;0;1;1;1;0;2;20;2;0;0;9.090909091;7;23.63636364;6.5;20;4
641;1;0;0;0;1;0;1;1;2;0;15;2;110;5;0;0;150;4.5;80;8
642;0;1;0;0;1;1;0;1;2;2;0;2;5.263157895;7;5.263157895;9;0;0;13.68421053;4
643;0;0;0;1;1;0;1;1;2;0;25;2;2.777777778;9;0;0;3.888888889;2.5;8.333333333;6
644;0;1;0;0;0;1;1;1;0;2;10;2;0;0;4.761904762;9;12.38095238;4.5;9.523809524;6
645;0;0;1;0;1;0;1;0;2;0;20;0;31.42857143;5;0;0;31.42857143;6.5;0;0
646;0;1;0;0;1;1;1;0;2;2;15;0;6.086956522;5;8.695652174;9;11.30434783;4.5;0;0
647;0;1;0;0;1;1;0;1;2;2;0;2;9.333333333;9;17.33333333;7;0;0;10.66666667;4
648;1;0;0;0;1;0;1;1;2;0;25;2;18.18181818;5;0;0;16.36363636;2.5;16.36363636;6
649;0;0;0;1;0;0;1;1;0;0;15;2;0;0;0;0;6.111111111;2.5;6.111111111;8
650;0;0;1;0;1;0;1;0;2;0;15;0;7.586206897;5;0;0;4.827586207;6.5;0;0
651;0;1;0;0;0;1;1;1;0;2;25;2;0;0;13.68421053;9;5.263157895;4.5;11.57894737;4
652;0;0;1;0;1;1;1;0;2;2;20;0;5.882352941;9;20;5;11.76470588;6.5;0;0
653;0;1;0;0;0;1;1;0;0;2;5;0;0;0;30;9;190;4.5;0;0
654;0;1;0;0;1;1;1;0;2;2;5;0;5.454545455;7;27.27272727;5;20;6.5;0;0
655;0;1;0;0;0;1;1;1;0;2;25;2;0;0;6.111111111;5;10.55555556;6.5;6.111111111;6
656;0;1;0;0;1;1;1;0;2;2;20;0;6.111111111;7;3.333333333;9;6.111111111;2.5;0;0
657;0;0;0;1;0;0;1;1;0;0;10;2;0;0;0;0;8.148148148;2.5;6.666666667;6
658;1;0;0;0;1;1;1;0;2;2;25;0;20;9;42.85714286;5;20;4.5;0;0
659;0;0;1;0;0;0;1;1;0;0;10;2;0;0;0;0;7.826086957;6.5;7.826086957;4
660;0;0;1;0;0;1;1;0;0;2;5;0;0;0;13.68421053;5;5.263157895;4.5;0;0
661;0;0;1;0;0;1;1;0;0;2;25;0;0;0;6.666666667;5;17.33333333;4.5;0;0
662;0;1;0;0;0;1;1;1;0;2;5;2;0;0;20;5;9.230769231;6.5;23.07692308;6
663;0;0;1;0;0;0;1;1;0;0;10;2;0;0;0;0;10.4;4.5;7.2;8
664;1;0;0;0;1;0;1;1;2;0;5;2;10;7;0;0;15.71428571;2.5;12.85714286;8
665;0;1;0;0;0;1;1;1;0;2;25;2;0;0;7.368421053;9;15.78947368;4.5;11.57894737;4
666;0;0;1;0;1;1;1;0;2;2;15;0;10.55555556;7;7.222222222;9;3.888888889;2.5;0;0
667;0;1;0;0;0;1;1;1;0;2;25;2;0;0;16.52173913;5;6.086956522;6.5;7.826086957;6
668;0;0;1;0;1;0;1;0;2;0;5;0;12;5;0;0;20;6.5;0;0
669;0;0;1;0;0;1;1;0;0;2;5;0;0;0;14.66666667;9;14.66666667;4.5;0;0
670;1;0;0;0;1;1;1;0;2;2;15;0;8.571428571;9;25.71428571;7;31.42857143;2.5;0;0
671;0;1;0;0;0;1;1;1;0;2;10;2;0;0;37.14285714;9;14.28571429;4.5;22.85714286;4
672;0;0;0;1;0;1;1;1;0;2;5;2;0;0;11.11111111;5;5.925925926;4.5;8.148148148;8
673;0;1;0;0;0;1;1;0;0;2;10;0;0;0;12.72727273;5;20;4.5;0;0
674;0;1;0;0;0;1;1;1;0;2;25;2;0;0;4;9;14.66666667;2.5;12;6
675;0;0;1;0;1;0;1;1;2;0;25;2;15.71428571;9;0;0;12.85714286;2.5;18.57142857;6
676;0;0;1;0;1;1;1;0;2;2;5;0;3.157894737;7;7.368421053;9;13.68421053;6.5;0;0
677;1;0;0;0;1;1;0;1;2;2;0;2;16.36363636;9;30.90909091;7;0;0;16.36363636;4
678;0;0;1;0;1;1;1;0;2;2;5;0;11.30434783;5;6.086956522;7;7.826086957;6.5;0;0
679;0;0;1;0;1;0;1;1;2;0;10;2;16.92307692;9;0;0;16.92307692;2.5;13.84615385;6
680;1;0;0;0;1;1;1;0;2;2;25;0;12.85714286;9;27.14285714;5;12.85714286;4.5;0;0
681;0;1;0;0;0;1;1;1;0;2;5;2;0;0;9.230769231;9;16.92307692;4.5;20;4
682;0;0;0;1;0;1;0;1;0;2;0;2;0;0;68;9;0;0;36;4
683;0;0;1;0;0;0;1;1;0;0;15;2;0;0;0;0;25.33333333;6.5;12;6
